304 Kulturní politika	1 Antropologie, etnografie	304 Kulturní politika
316.7 Sociologie kultury. Kulturní život	1 Antropologie, etnografie	316.7 Sociologie kultury. Kulturní život
39 Kulturní antropologie. Etnologie. Etnografie	1 Antropologie, etnografie	39 Kulturní antropologie. Etnologie. Etnografie
391 Oděv, móda, ozdoby	1 Antropologie, etnografie	39 Kulturní antropologie. Etnologie. Etnografie
392 Zvyky, mravy, obyčeje v soukromém životě	1 Antropologie, etnografie	39 Kulturní antropologie. Etnologie. Etnografie
393 Smrt. Pohřby. Obyčeje při úmrtí	1 Antropologie, etnografie	39 Kulturní antropologie. Etnologie. Etnografie
394 Veřejný a společenský život. Každodenní život	1 Antropologie, etnografie	39 Kulturní antropologie. Etnologie. Etnografie
395 Společenské chování. Etiketa	1 Antropologie, etnografie	39 Kulturní antropologie. Etnologie. Etnografie
398 Folklor. Lidové tradice	1 Antropologie, etnografie	39 Kulturní antropologie. Etnologie. Etnografie
572 Fyzická antropologie	1 Antropologie, etnografie	572 Fyzická antropologie
599.89 Hominidae. Hominidi lidé	1 Antropologie, etnografie	39 Kulturní antropologie. Etnologie. Etnografie
Životní prostředí, znečištění, ochrana	2 Biologické vědy	Životní prostředí, znečištění, ochrana
502 Životní prostředí a jeho ochrana	2 Biologické vědy	Životní prostředí, znečištění, ochrana
504 Znečištění a poškození životního prostředí	2 Biologické vědy	Životní prostředí, znečištění, ochrana
57 Biologie	2 Biologické vědy	57 Biologie
57 Obecná biologie	2 Biologické vědy	57 Biologie
57/59 Biologické vědy	2 Biologické vědy	57 Biologie
574 Obecná ekologie	2 Biologické vědy	57 Biologie
575 Obecná genetika. Obecná cytogenetika. Evoluce	2 Biologické vědy	57 Biologie
576 Buněčná biologie. Cytologie	2 Biologické vědy	57 Biologie
577 Biochemie. Molekulární biologie. Biofyzika	2 Biologické vědy	57 Biologie
579 Mikrobiologie	2 Biologické vědy	579 Mikrobiologie
578 Virologie	2 Biologické vědy	578 Virologie
58 Botanika	2 Biologické vědy	58 Botanika
581 Obecná botanika	2 Biologické vědy	58 Botanika
59 Zoologie	2 Biologické vědy	59 Zoologie
591 Obecná zoologie	2 Biologické vědy	59 Zoologie
791 Film. Cirkus. Lidová zábava	3 Divadlo, film, tanec	791 Film. Cirkus. Lidová zábava
792 Divadlo. Divadelní představení	3 Divadlo, film, tanec	792 Divadlo. Divadelní představení
791/793 Divadlo, film, tanec (obecně)	3 Divadlo, film, tanec	792 Divadlo. Divadelní představení
793.3 Pohybové umění. Tanec	3 Divadlo, film, tanec	793.3 Pohybové umění. Tanec
793.8 Zábavná magie	3 Divadlo, film, tanec	793.8 Zábavná magie
003.05 Psaní a stenografie	4 Ekonomické vědy, obchod	003.05 Psaní a stenografie
005 Management. Řízení	4 Ekonomické vědy, obchod	005 Management. Řízení
005.91/.92 Vedení úřadu (kanceláře). Spisová služba	4 Ekonomické vědy, obchod	005 Management. Řízení
005.91:82-6 Úřední korespondence	4 Ekonomické vědy, obchod	005 Management. Řízení
658 Řízení a správa podniku	4 Ekonomické vědy, obchod	005 Management. Řízení
311 Statistika	4 Ekonomické vědy, obchod	311 Statistika
33 Ekonomie	4 Ekonomické vědy, obchod	33 Ekonomie
330.5+338 Národní hospodářství a hospodářská politika	4 Ekonomické vědy, obchod	33 Ekonomie
330.8 Ekonomické teorie, doktríny, směry	4 Ekonomické vědy, obchod	33 Ekonomie
334 Formy organizace a spolupráce v ekonomice	4 Ekonomické vědy, obchod	33 Ekonomie
331 Práce	4 Ekonomické vědy, obchod	331 Práce
332 Regionální ekonomie, regionální ekonomika	4 Ekonomické vědy, obchod	332 Regionální ekonomie, regionální ekonomika
Finance	4 Ekonomické vědy, obchod	Finance
336.1/.5 Veřejné finance	4 Ekonomické vědy, obchod	Finance
336.7 Finance	4 Ekonomické vědy, obchod	Finance
338.3/.4 Hospodářská a výrobní odvětví	4 Ekonomické vědy, obchod	338.3/.4 Hospodářská a výrobní odvětví
339 Obchod	4 Ekonomické vědy, obchod	339 Obchod
339.3 Vnitřní obchod	4 Ekonomické vědy, obchod	339 Obchod
339.5 Zahraniční obchod. Mezinárodní obchod	4 Ekonomické vědy, obchod	339 Obchod
339.7/.9 Světová ekonomika a mezinárodní finance	4 Ekonomické vědy, obchod	339.7/.9 Světová ekonomika a mezinárodní finance
368 Pojišťovnictví	4 Ekonomické vědy, obchod	368 Pojišťovnictví
654 Telekomunikace a dálkové řízení	4 Ekonomické vědy, obchod	654 Telekomunikace a dálkové řízení
656 Doprava	4 Ekonomické vědy, obchod	656 Doprava
656.1/.5 Pozemní doprava	4 Ekonomické vědy, obchod	656 Doprava
656.2 Železniční doprava	4 Ekonomické vědy, obchod	656 Doprava
656.6/.7 Vodní a letecká doprava	4 Ekonomické vědy, obchod	656 Doprava
656.62 Říční doprava	4 Ekonomické vědy, obchod	656 Doprava
656.8 Poštovní služby a správa	4 Ekonomické vědy, obchod	656.8 Poštovní služby a správa
657 Účetnictví	4 Ekonomické vědy, obchod	657 Účetnictví
659 Reklama. Public relations. Média	4 Ekonomické vědy, obchod	659 Reklama. Public relations. Média
101 Filozofie	5 Filozofie a náboženství	101 Filozofie
13 Filozofie ducha	5 Filozofie a náboženství	101 Filozofie
14 Filozofické systémy a hlediska	5 Filozofie a náboženství	101 Filozofie
14(100)"04/14" Středověká filozofie	5 Filozofie a náboženství	101 Filozofie
14(100-11) Orientální filozofie	5 Filozofie a náboženství	101 Filozofie
14(100-15)"15/20" Moderní západní filozofie	5 Filozofie a náboženství	101 Filozofie
14(3) Antická, starověká filozofie	5 Filozofie a náboženství	101 Filozofie
11 Metafyzika	5 Filozofie a náboženství	11 Metafyzika
122/129 Speciální metafyzika	5 Filozofie a náboženství	11 Metafyzika
16 Logika	5 Filozofie a náboženství	16 Logika
165 Teorie poznání. Epistemologie	5 Filozofie a náboženství	16 Logika
17 Etika. Morální filozofie	5 Filozofie a náboženství	17 Etika. Morální filozofie
2 Náboženství	5 Filozofie a náboženství	2 Náboženství
2-1 Přirozená teologie. Náboženská filozofie	5 Filozofie a náboženství	2 Náboženství
